code,favela_name,favela_address,upp,controlling_faction_2019,type,controlling_faction_2013,detail_controlling_faction_2013,controlling_faction_2009,controlling_faction_2008,controlling_faction_2007,controlling_faction_2006,controlling_faction_2005,social_progress_index
962,AVENIDA BRASIL,AVN BRASIL - RAMOS - COMPLEXO PARQUE ITAMBÉ,2,CV,N,CV,ARMED,CV,CV,CV,CV,CV,0.552
963,UGA-UGA,AV DOS CAMPEÕES - RAMOS,2,CV,,CV,ARMED,CV,CV,CV,CV,CV,0.537
964,"RUA FELIZARDO FORTES, N 276","RUA FELIZARDO FORTES, N 276 - RAMOS",2,CV,,CV,UNARMED,CV,CV,CV,CV,CV,0.529
965,"RUA EUCLIDES ROXO, N 365","RUA EUCLIDES ROXO, N 365 - REALENGO",2,MILICIA,,MILICIA,ARMED,CV,CV,CV,CV,CV,0.239
966,PARQUE CARUMBE,RUA CARUMBÉ - REALENGO,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,0.451
967,SOLAR DOS TEIXEIRAS,ESTR DOS TEIXEIRAS- REALENGO,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,,,
968,VILA ALZIRA,ESTR DOM PEDRO ALCANTARA - REALENGO - COMPLEXO VILA SÃO MIGUEL,2,ADA,N,ADA,ARMED,MILICIA,MILICIA,MILICIA,ADA,ADA,
969,"RUA ITAPORANGA, N 175","RUA ITAPORANGA, N 175 - REALENGO - COMPLEXO BATAN",1,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,ADA,ADA,
970,AVENIDA BRASIL (BAIRRO BATAM),AVN BRASIL - REALENGO,1,UPP,,UPP,WITHOUT DRUG TRAFFICKING,NEUTRAL,NEUTRAL,MILICIA,ADA,ADA,
971,"RUA DUARTE COELHO DE ALBUQUERQUE, N 184","RUA DUARTE COELHO DE ALBUQUERQUE, N 184 - REALENGO",2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,ADA,ADA,0.451
972,CANECAO,RUA JOÃO LUSO - REALENGO,2,CV,N,CV,UNARMED,CV,CV,CV,CV,CV,0.371
